ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.537075619631647,226.7549915558469,19748.5304667323,4.870503264298115,355.44903524007344,484.60075000867675,10.999311542774063,71.32452379894413,3.5871974471779686,1
5.520023840639257,128.48157929984092,20908.317546035894,6.5072983159674775,399.6988361827604,420.0636647603157,18.081015551689934,79.44300104684764,4.308300340318988,0
8.205676793709685,171.47790881229741,16246.09282589005,6.5715927722580085,340.61179495325604,388.54151106151073,21.018329028106177,75.23459534972487,3.9477174457053725,0
8.49084707458682,183.20895819872754,22579.392481920437,8.454910441448359,295.7079220738436,455.1304717498868,13.631954024291856,74.58406946127698,4.119711693172866,0
4.153447217019245,251.7958997533301,27522.869165936023,6.409526868035685,258.4587452723396,478.83881792214265,13.972500044600993,36.16622107070632,4.504648006023199,1
5.126730739706523,220.5953204958838,19941.943277078113,6.817715031911269,361.16744928260766,298.47399408233366,15.085552574548212,88.00036390607175,4.0906964007768165,0
7.271760604750928,178.17054313430083,18039.482183094187,6.440097619293893,,456.05447380182653,10.63379691587807,41.008357653481376,4.476746525733811,1
6.6056361114846265,237.74443830769764,20560.241680945543,4.90633824438961,368.54031606361525,478.2043761930828,12.020797416381482,63.92546273569767,3.3120317095774405,1
7.0547982637435664,172.30349374396417,21948.783239918183,6.08967825256689,390.2942262386653,237.80411200257828,20.180355352404572,76.4204054093344,3.0162380300056406,0
5.80043410863963,228.29119371948818,6751.397412017121,6.516539990167568,269.69293459485385,441.6951726996232,13.863718754931602,72.20927992095415,4.34234133217317,0
8.399096962294243,152.5159281304635,26061.827860520414,7.236644895782088,355.70959490911747,481.56873075164634,11.536061972516809,45.699051501855436,4.5022785999997685,1
8.246687903143423,230.34425061725304,18058.71921775161,8.003136713815223,385.9975188239131,472.4702651411637,12.808261742001195,48.60712490896013,4.374799560745534,0
7.179046046341824,183.00372334492846,33077.66260609292,6.749337514656574,374.7806123364916,490.195868382466,17.840318168189444,71.05056028298986,4.072637219402895,0
,163.08786428987938,27197.538981384503,6.721561502909472,247.04844308667134,399.79467263854013,7.779540279087702,74.67568922306576,3.7172480683340274,1
7.781264013378069,189.05140438155794,32275.482365006377,4.401115209590456,298.00026616345815,342.80748522596355,15.140344661267704,48.4632977172722,4.1345690856305,1
5.791061305675143,204.87501375104688,13147.496729120254,7.972780537265034,,282.0204534587683,22.425321858640125,72.76000075123262,4.265853952159095,0
7.633126176123748,180.1680502231772,18756.93915678627,6.020481338302936,354.4623829610291,513.3778592454446,21.002506670053798,41.85256962895617,4.312652009145435,1
5.641676098756502,213.72651219185036,11117.639064998522,8.300454716403046,,482.24523950354745,16.19156917670162,76.51510596832141,6.003568854170364,0
,177.34419572274984,15829.47309768981,9.199975117609629,222.38643300443437,519.4791144662775,18.644260613145136,52.081762487374114,3.2517730473083497,0
7.005111133520621,215.85191660580347,32994.96457294035,6.823094257825052,320.6659035255585,367.98869129246845,18.612526739827707,67.70431801827492,6.486274636835381,0
6.802706454682109,210.15110598517117,35059.29236838028,5.50316817638989,,490.3069138100291,13.884688388485975,64.98415738481282,2.9896795483739345,0
6.058605683394088,194.05046224934608,11944.871004564888,7.093616191323649,339.067015640189,305.7855238434561,17.351819551102214,85.20264871216256,4.27082160660027,0
8.913812008011046,181.8757660042896,17994.904848857423,7.670949156869449,338.9969436994943,356.4405153032151,20.202323961998278,70.32250646494548,3.0380227868761356,0
